sigma12,sigma21,scenario
1.0382936223814752,0.914786741456805,Neutral
1.0825806608454653,0.8788706718386144,Neutral
1.0316484105560435,0.9552274695722122,Neutral
1.0123585278898115,0.9308307555429531,Neutral
0.9730658062495576,0.9397771120284732,Neutral
1.0141370991653573,0.986091593792981,Neutral
1.0281639036096206,0.9536682030311459,Neutral
1.1090335411351027,0.9254283783198739,Neutral
1.0803165391555318,0.8832799012051389,Neutral
1.0770829483571007,0.8798926476680514,Neutral
1.0591675391243427,0.9065744259225372,Neutral
1.1426497308339187,0.901960592999613,Neutral
1.1371152724140567,0.9134863393330483,Neutral
1.1309024205656568,0.9247460071096228,Neutral
0.9749148756343544,0.9634828066943659,Neutral
0.9564128329528845,0.9625292446486987,Neutral
1.0267562209847716,1.0093640507211472,Neutral
0.9915371809336277,1.0132491953064857,Neutral
0.9608632079487551,1.0089806519585898,Neutral
0.9876878319632895,1.0048814883650947,Neutral
0.9741571668085481,0.9965896581136914,Neutral
0.9895332355416655,0.9813415654496168,Neutral
0.9905125329649268,0.9911070517924385,Neutral
1.00765464757024,0.9957768478862717,Neutral
0.984519225020067,1.038067595899191,Neutral
1.0259733162295621,1.0540958192873888,Neutral
0.9911466578482755,1.0180178731759275,Neutral
0.9525158111640228,1.0540676592314664,Neutral
1.058702217340177,0.9537543462459864,Neutral
1.0607037925424134,0.9314408601637082,Neutral
1.0842197637873379,0.9935739257826854,Neutral
1.088333076313241,1.0037300851732038,Neutral
1.0724597506252906,0.9614955373957859,Neutral
1.0577877827949127,0.9453264706681848,Neutral
1.0411035140472662,0.9818644994355759,Neutral
1.0771851388956828,0.9788823236304931,Neutral
1.0683166249772074,0.9529667868674401,Neutral
0.9694237192960563,1.0157491879264804,Neutral
0.9822153651005897,1.0365422639597217,Neutral
0.9757340223572153,1.0147622058405885,Neutral
1.049448239698645,0.9522787933056185,Neutral
1.0357795022464962,0.9646394727339641,Neutral
1.0490672612854062,0.9779671150962106,Neutral
1.0300857965041679,0.9497370310468342,Neutral
1.0658508354626297,0.9636487258013253,Neutral
1.0564418400646856,0.9235397765371764,Neutral
1.0064628652460985,0.9345042220171347,Neutral
1.0281010191814666,0.9312032837435642,Neutral
1.0026954714706833,0.9740866840639935,Neutral
1.0151243875272222,0.9852493341685284,Neutral
1.0123291983997662,0.9733194376232729,Neutral
1.0137931257073964,0.9963830926990949,Neutral
1.0181694917316275,1.0223952275188468,Neutral
0.9460421159401391,1.0737078928648824,Neutral
0.9523261197209086,1.0616753325148167,Neutral
0.9570431630991056,1.0566681330761918,Neutral
0.9652769663378491,1.072395382255292,Neutral
1.0160156740622073,1.015015037891125,Neutral
0.9785359594443966,0.9785117138097769,Neutral
0.944486633276243,1.0303265162137776,Neutral
0.9524471835819527,1.0146524120199043,Neutral
